id,DEPARTAMENTO,MUNICIPIO_ID,CODIGO_DANE_MUNICIPIO,mpio,TITULO,CAPITULO,ARTICULO,AÑO_ACTUACION
1935,CALDAS,1,17001,MANIZALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2017
1936,ANTIOQUIA,1,5001,MEDELLIN,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2013
1937,SANTANDER,1,68001,BUCARAMANGA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CELEBRACION INDEBIDA DE CONTRATOS,CONTRATO SIN CUMPLIMIENTO DE REQUISITOS LEGALES ART. 410 C.P.,2016
1938,TOLIMA,1,73001,IBAGUE,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2014
1939,TOLIMA,1,73001,IBAGUE,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2014
1940,TOLIMA,1,73001,IBAGUE,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2016
1941,ANTIOQUIA,1,5001,MEDELLIN,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2014
1942,VALLE DEL CAUCA,1,76001,CALI,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2016
1943,ANTIOQUIA,360,5360,ITAGUI,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2015
1944,TOLIMA,55,73055,ARMERO,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2016
1945,ARAUCA,794,81794,TAME,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2013
